license_id,brand_name,ingredient,drugbank_id,disease_name,disease_id,source,is_new
MAL20091965AZ,VALDOXAN 25MG FILM-COATED TABLETS,AGOMELATINE,DB06594,anxiety disorder,,TxGNN Knowledge Graph,
MAL20091965AZ,VALDOXAN 25MG FILM-COATED TABLETS,AGOMELATINE,DB06594,unipolar depression,,TxGNN Knowledge Graph,
MAL20091965AZ,VALDOXAN 25MG FILM-COATED TABLETS,AGOMELATINE,DB06594,major depressive disorder,,TxGNN Knowledge Graph,
MAL20091965AZ,VALDOXAN 25MG FILM-COATED TABLETS,AGOMELATINE,DB06594,endogenous depression,,TxGNN Knowledge Graph,
MAL20091972ACZ,ELAPRASE SOLUTION FOR INTRAVENOUS INFUSION,IDURSULFASE,DB01271,mucopolysaccharidosis,,TxGNN Knowledge Graph,
MAL20091983ACRZ,ACTEMRA  20 MG/ML CONCENTRATE FOR SOLUTION FOR INFUSION.,TOCILIZUMAB,DB06273,juvenile arthritis due to defect in LACC1,,TxGNN Knowledge Graph,
MAL20091983ACRZ,ACTEMRA  20 MG/ML CONCENTRATE FOR SOLUTION FOR INFUSION.,TOCILIZUMAB,DB06273,Kimura disease,,TxGNN Knowledge Graph,
MAL20091983ACRZ,ACTEMRA  20 MG/ML CONCENTRATE FOR SOLUTION FOR INFUSION.,TOCILIZUMAB,DB06273,rheumatoid arthritis,,TxGNN Knowledge Graph,
MAL20091983ACRZ,ACTEMRA  20 MG/ML CONCENTRATE FOR SOLUTION FOR INFUSION.,TOCILIZUMAB,DB06273,temporal arteritis,,TxGNN Knowledge Graph,
MAL20091983ACRZ,ACTEMRA  20 MG/ML CONCENTRATE FOR SOLUTION FOR INFUSION.,TOCILIZUMAB,DB06273,juvenile idiopathic arthritis,,TxGNN Knowledge Graph,
MAL20091983ACRZ,ACTEMRA  20 MG/ML CONCENTRATE FOR SOLUTION FOR INFUSION.,TOCILIZUMAB,DB06273,Castleman disease,,TxGNN Knowledge Graph,
MAL20091983ACRZ,ACTEMRA  20 MG/ML CONCENTRATE FOR SOLUTION FOR INFUSION.,TOCILIZUMAB,DB06273,spondyloarthropathy,,TxGNN Knowledge Graph,
MAL14115021ARZ,Adempas 2.5mg film-coated tablet,RIOCIGUAT,DB08931,pulmonary arterial hypertension,,TxGNN Knowledge Graph,
MAL14115021ARZ,Adempas 2.5mg film-coated tablet,RIOCIGUAT,DB08931,chronic thromboembolic pulmonary hypertension,,TxGNN Knowledge Graph,
MAL24126008ARZ,Beova 50mg Film-Coated Tablets,VIBEGRON,DB14895,overactive bladder (disease),,TxGNN Knowledge Graph,
MAL20126003AZ,Lorviqua 25 mg Film-Coated Tablets,LORLATINIB,DB12130,lung cancer,,TxGNN Knowledge Graph,
MAL20126003AZ,Lorviqua 25 mg Film-Coated Tablets,LORLATINIB,DB12130,non-small cell lung carcinoma (disease),,TxGNN Knowledge Graph,
MAL20142455AEZ,hovid-Lambivir Tablet 150mg/300mg,ZIDOVUDINE,DB00495,HIV infectious disease,,TxGNN Knowledge Graph,
MAL20142455AEZ,hovid-Lambivir Tablet 150mg/300mg,ZIDOVUDINE,DB00495,AIDS,,TxGNN Knowledge Graph,
MAL04125474ACZ,Leukeran Tablets 2mg,CHLORAMBUCIL,DB00291,Hodgkin's paragranuloma,,TxGNN Knowledge Graph,
MAL04125474ACZ,Leukeran Tablets 2mg,CHLORAMBUCIL,DB00291,"classic Hodgkin lymphoma, lymphocyte-rich type",,TxGNN Knowledge Graph,
MAL04125474ACZ,Leukeran Tablets 2mg,CHLORAMBUCIL,DB00291,classic Hodgkin lymphoma,,TxGNN Knowledge Graph,
MAL04125474ACZ,Leukeran Tablets 2mg,CHLORAMBUCIL,DB00291,follicular lymphoma,,TxGNN Knowledge Graph,
MAL04125474ACZ,Leukeran Tablets 2mg,CHLORAMBUCIL,DB00291,acute lymphoblastic/lymphocytic leukemia,,TxGNN Knowledge Graph,
MAL04125474ACZ,Leukeran Tablets 2mg,CHLORAMBUCIL,DB00291,Richter syndrome,,TxGNN Knowledge Graph,
MAL04125474ACZ,Leukeran Tablets 2mg,CHLORAMBUCIL,DB00291,Hodgkins lymphoma,,TxGNN Knowledge Graph,
MAL04125474ACZ,Leukeran Tablets 2mg,CHLORAMBUCIL,DB00291,obsolete Hodgkin's granuloma,,TxGNN Knowledge Graph,
